Site,Part No,Onhand Qty
G580,10000,4.0
G580,10001,16.0
G580,10002,32.0
G580,10003,16.0
G580,1002,6.0
G580,1004,1.0
G580,1009,4.0
G580,1010,1.0
G580,1011,1.0
G580,1012,2.0
G580,1016,3.0
G580,1017,1.0
G580,1018,1.0
G580,1019,1.0
G580,1020,5.0
G580,1021,1.0
G580,1022,1.0
G580,1023,1.0
G580,1025,11.0
G580,1026,3.0
G580,1030,9.0
G580,1032,10.0
G580,1034,1.0
G580,1038,2.0
G580,1041,1.0
G580,1043,1.0
G580,1044,4.0
G580,1045,1.0
G580,1046,1.0
G580,1047,1.0
G580,1049,1.0
G580,1050,2.0
G580,1051,1.0
G580,1052,1.0
G580,1053,1.0
G580,1054,1.0
G580,1059,3.0
G580,1062,7.0
G580,1063,2.0
G580,1064,2.0
G580,1065,6.0
G580,1066,18.0
G580,1067,6.0
G580,1068,6.0
G580,1069,6.0
G580,1070,15.0
G580,1071,17.0
G580,1072,1.0
G580,1073,2.0
G580,1074,1.0
G580,1075,11.0
G580,1076,1.0
G580,1077,1.0
G580,1079,26.0
G580,1080,1.0
G580,1082,3.0
G580,1085,13.0
G580,1086,18.0
G580,1089,10.0
G580,1091,4.0
G580,1103,1.0
G580,1104,1.0
G580,1106,1.0
G580,1107,1.0
G580,1108,1.0
G580,1109,1.0
G580,1112,1.0
G580,1113,1.0
G580,1114,4.0
G580,1115,1.0
G580,1117,1.0
G580,1118,1.0
G580,1119,14.0
G580,1120,2.0
G580,1122,2.0
G580,1123,1.0
G580,1124,15.0
G580,1125,10.0
G580,1126,11.0
G580,1127,1.0
G580,1129,2.0
G580,1138,4.0
G580,1140,1.0
G580,1141,2.0
G580,1142,2.0
G580,1145,3.0
G580,1149,1.0
G580,1150,1.0
G580,1152,1.0
G580,1162,3.0
G580,1163,1.0
G580,1174,2.0
G580,1175,20.0
G580,1176,14.0
G580,1177,14.0
G580,1181,12.0
G580,1182,4.0
G580,1183,2.0
G580,1184,53.0
G580,1185,2.0
G580,1187,11.0
G580,1188,45.0
G580,1189,41.0
G580,1190,53.0
G580,1191,3.0
G580,1192,13.0
G580,1193,1.0
G580,1194,5.0
G580,1195,2.0
G580,1198,6.0
G580,1207,222.0
G580,1212,124.0
G580,1213,95.0
G580,1219,1.0
G580,1220,1.0
G580,1221,20.0
G580,1222,2.0
G580,1225,1.0
G580,1226,2.0
G580,1227,2.0
G580,1228,2.0
G580,1229,2.0
G580,1230,105.0
G580,1231,10.0
G580,1232,18.0
G580,1233,6.0
G580,1234,10.0
G580,1235,1.0
G580,1237,1.0
G580,1241,2.0
G580,1243,2.0
G580,1246,4.0
G580,1247,2.0
G580,1248,6.0
G580,1249,6.0
G580,1254,20.0
G580,1255,3.0
G580,1256,6.0
G580,1257,18.0
G580,1258,19.0
G580,1260,6.0
G580,1261,19.0
G580,1262,6.0
G580,1263,30.0
G580,1264,68.0
G580,1266,5.0
G580,1267,38.0
G580,1268,40.0
G580,1269,19.0
G580,1271,74.0
G580,1272,28.0
G580,1273,3.0
G580,1275,7.0
G580,1276,8.0
G580,1277,19.0
G580,1278,25.0
G580,1279,2.0
G580,1280,1.0
G580,1281,2.0
G580,1282,1.0
G580,1283,59.0
G580,1284,1.0
G580,1285,2.0
G580,1287,1.0
G580,1288,1.0
G580,1289,22.0
G580,1291,2.0
G580,1292,5.0
G580,1293,1.0
G580,1294,42.0
G580,1296,1.0
G580,1297,2.0
G580,1298,3.0
G580,1300,2.0
G580,1302,76.0
G580,1309,59.0
G580,1315,169.0
G580,1316,2.0
G580,1322,2.0
G580,1323,2.0
G580,1324,2.0
G580,1333,2.0
G580,1334,2.0
G580,1335,1.0
G580,1338,3491.0
G580,1343,1.0
G580,1345,1.0
G580,1346,1.0
G580,1347,1.0
G580,1348,1.0
G580,1349,1.0
G580,1350,1.0
G580,1352,2.0
G580,1353,3.0
G580,1354,1.0
