Site,Year,Part Number,Customer_Count,Internal_Customer_Count,External_Customer_Count
G580,2019,ABBBL01GT10,1,1,0
G580,2019,ABBFH00GT35,1,0,1
G580,2019,ABBFT00GT35,1,0,1
G580,2019,ABBHS01GT10,1,1,0
G580,2019,ABBHS02GT10,1,1,0
G580,2019,ABBHS03GT10,1,1,0
G580,2019,ABBNZ01GT10,1,1,0
G580,2019,ABBNZ02GT10,1,1,0
G580,2019,ADDITIONAL,16,7,9
G580,2019,APMBH007EAAGR,1,1,0
G580,2019,APMBH00FR6AGR,1,1,0
G580,2019,APMBL017EAAG,1,1,0
G580,2019,APMBL017EAAGR,1,1,0
G580,2019,APMBL01FR6AG,2,2,0
G580,2019,APMBL01FR6AGR,2,1,1
G580,2019,APMBL01FR9AGR,2,1,1
G580,2019,APMBL01FR9EAG,1,1,0
G580,2019,APMBL02FR6AG,1,1,0
G580,2019,APMBL02FR6AGR,1,0,1
G580,2019,APMBL02FR9AGR,1,1,0
G580,2019,APMBL03FR6AG,2,2,0
G580,2019,APMBL03FR6AGR,2,1,1
G580,2019,APMBL03FR9AGR,1,1,0
G580,2019,APMCL00FR5AG,1,1,0
G580,2019,APMCL00FR6AGR,1,0,1
G580,2019,APMCT00FR5AG,1,1,0
G580,2019,APMCT00FR6AGR,1,1,0
G580,2019,APMFN00FR5AG,1,1,0
G580,2019,APMFS00FR6AGR,1,1,0
G580,2019,APMNZ017EAAGR,1,1,0
G580,2019,APMNZ01FR6AG,2,2,0
G580,2019,APMNZ01FR6AGR,2,1,1
G580,2019,APMNZ027EAAG,2,2,0
G580,2019,APMNZ02FR6AG,1,1,0
G580,2019,APMNZ02FR6AGR,1,0,1
G580,2019,APMNZ03FR6AG,2,2,0
G580,2019,APMNZ03FR6AGR,1,0,1
G580,2019,APMSB017EAAGR,1,1,0
G580,2019,APMSB01FR6AGR,2,1,1
G580,2019,APMSB01FR9AGR,1,1,0
G580,2019,APMSB027EAAGR,1,1,0
G580,2019,APMSB02FR6AG,1,1,0
G580,2019,APMSB02FR6AGR,1,0,1
