Site,Customer Name,Customer_Type,Revenue_GBP,Units,Opportunity_Count,Cost_Allocated_USD,Revenue_USD,Margin_USD
G580,AAR Component Services,External,868800.0,30.0,2,1100.0,,
G580,ARBIL GLOBAL ENERGY LTD.,External,71422616.56,5305.0,8,321931.63,,
G580,Amata B.Grimm Power 2 Limited,External,713391.01,102.0,2,0.0,,
G580,B.Grimm Power Service,External,24688983.34,1120.0,3,17272.0,,
G580,BICOSYN ENERGY TECHNOLOGY,External,1339396.71,92.0,0,0.0,,
G580,Bicosyn Energy Technology,External,44776816.17,2038.0,6,320464.09,,
G580,CLP Holding Limited,External,0.0,1.0,1,0.0,,
G580,Corrtech Energy Limited,External,93588.86,2.0,1,0.0,,
G580,"EGCO Cogeneration Co.,Ltd.",External,25206184.07,701.0,2,0.0,,
G580,EREGLI IRON & STEEL WORKS,External,12731738.38,501.0,1,0.0,,
G580,ETHOSENERGY AND PARTNER LLC,Internal,21508581.51,1284.0,0,0.0,,
G580,ETHOSENERGY HOUSTON,Internal,5327843.69,74.0,1,0.0,,
G580,ETHOSENERGY ITALIA S.P.A.,Internal,47366257.22,2045.0,7,287157.23,,
G580,Electricity Generating,External,36010116.0,964.0,2,14545629.35,,
G580,Engro Powergen Qadirpur,External,1254860.1,49.0,1,23922.11,,
G580,"EthosEnergy (Canada), Ltd.",Internal,58404393.0,3130.0,6,0.0,,
G580,EthosEnergy (GBR) Limited,Internal,169244027.7,4477.0,9,497962.52,,
G580,EthosEnergy (MEA) Ltd.,Internal,125154055.85,2843.0,2,0.0,,
G580,EthosEnergy AG,Internal,9245069.58,1256.0,0,0.0,,
G580,EthosEnergy Abu Dhabi LLC,Internal,31359506.66,274.0,4,19208.22,,
G580,EthosEnergy Australia PTY LTD,Internal,543035.1,189.0,2,101.0,,
G580,"EthosEnergy Field Services,LLC",Internal,1646738.81,11.0,1,0.0,,
G580,EthosEnergy GmbH,Internal,658196980.76,21191.0,93,3296652.72,,
G580,EthosEnergy Italia S.p.A,Internal,308835823.62,24086.0,16,914764.02,,
G580,EthosEnergy Light Turbines,Internal,8254064.52,404.0,4,0.0,,
G580,"EthosEnergy Light Turbines,LLC",Internal,2317734.39,142.0,2,880.58,,
G580,EthosEnergy Power Plant,Internal,1451903616.74,64077.0,99,24628123.15,,
G580,EthosEnergy Sdn Bhd,Internal,26447375.87,3233.0,4,0.0,,
G580,EthosEnergy Turbines Singapore,Internal,17076585.63,722.0,5,131007.03,,
G580,Ethosenergy Australia PTY LTD,Internal,98883407.86,5412.0,26,912561.43,,
G580,GLOBAL POWER SYNERGY (GPSC),External,29432708.75,3870.0,3,6548211.17,,
G580,GLOW COMPONENT REPAIR REVENUE,External,254276704.52,10932.0,7,22989432.38,,
G580,GPSC CUP-1,External,366840.35,276.0,1,0.0,,
G580,GUANGZHOU JIUBIXIANG TRADING,External,41699052.28,2092.0,19,32947.3,,
G580,Israel Electric Corp Ltd.,External,76136896.24,2796.0,14,0.0,,
G580,KTR-EthosEnergy LLP,Internal,24417452.94,575.0,3,83712.73,,
G580,Kahrabel FZE,External,19629306.59,1866.0,4,0.0,,
G580,Liuzhou Xinhegang Power Co.Ltd,External,605364.0,11.0,0,0.0,,
G580,MEPE Component repair Revenue,External,12357454.15,542.0,1,0.0,,
G580,Montreal Services Siemens,External,257879.47,84.0,1,45000.0,,
G580,"NOMAC Gulf Trading FZE,",External,15820436.93,46.0,3,0.0,,
G580,NOMAC Maintenance Energy,External,137082020.87,3399.0,11,1777263.96,,
G580,PENGZHOU BOLIHENG CHEMICAL,External,394677.9,11.0,1,0.0,,
G580,PETRONOR,External,14745800.45,356.0,2,0.0,,
G580,PT. Chandra Asri Petrochemical,External,56562.12,1.0,0,0.0,,
G580,"REPSOL PETROLEO, S.A.",External,4121418.49,55.0,0,0.0,,
G580,"REPSOL PETROLEO, S.A. COMPLEJO",External,9438482.23,176.0,2,0.0,,
G580,"REPSOL QUIMICA, S.A.",External,12391518.91,313.0,0,0.0,,
G580,"Repsol Petroleo, S.A.",External,7654961.56,128.0,1,0.0,,
G580,SMN BARKA POWER COMPANY SAOC,External,1350125.55,57.0,1,0.0,,
G580,Shanahan Engineering Israel,External,158308288.66,5128.0,6,1708947.69,,
G580,Shell Chemicals Seraya Pte Ltd,External,4926776.32,352.0,4,0.0,,
G580,"Shenzhen Kole Trading CO.,Ltd.",External,2283734.79,185.0,1,46705.16,,
G580,Siemens Energy,External,621484.5,1.0,1,8572.4,,
G580,"Siemens Energy, Inc. Houston",External,606500.55,2.0,1,37122.0,,
G580,Star Petroleum Refining PLC,External,2562893.31,2.0,0,0.0,,
G580,Star Petroleum Refining PLC.,External,1705390.6,28.0,3,0.0,,
G580,TECMO Arabia Ltd.,External,8836659.36,215.0,1,198149.81,,
G580,"THAIXON TECH CO.,LTD.",External,80990.0,2.0,0,0.0,,
G580,TRIUMPH AVIATION SERVICES ASIA,External,668294.97,17.0,0,0.0,,
G580,"Tominaga & Co.,Ltd.",External,16533979.37,108.0,5,259647.02,,
G580,Turbocare Emirates-SP LLC,External,17640.7,1.0,0,2.0,,
G580,"UNEW, Inc",External,30491781.4,418.0,2,178670.08,,
G580,"Venture Engineering Co.,LTD.",External,21447.4,1.0,0,0.0,,
G580,West Coast Power(Private) Ltd.,External,28744820.33,2118.0,3,0.0,,
G580,Zamil Group Trade & Services,External,157770020.95,7754.0,11,382682.16,,
G580,Zhongshan Yong An Electricity,External,9754576.51,521.0,2,0.0,,
G580,Zhongshan Yong'An Electric,External,6006097.4,409.0,1,0.0,,
R401,80:20 PROCUREMENT SERVICES LTD,External,25173.81,2.0,1,0.0,,
R401,AB MAURI ITALY SPA,External,3130.19,2.0,1,3430.0,,
R401,ALLIANCE PIPELINE LP,External,28638.04,13.0,3,0.0,,
R401,ALLIES INVESTMENT GROUP,External,8561.64,3.0,2,0.0,,
R401,AMBEV S.A.,External,333172.3,4.0,0,0.0,,
R401,APACHE NORTH SEA LTD,External,1508225.95,601.0,30,195663.62,,
R401,APACHE NORTH SEA PRODUCTION,External,1004030.86,1135.0,27,0.0,,
R401,ARCO MAINTENANCE & ENG LTD,External,1011036.41,13.0,4,0.0,,
R401,BAPCO GAS COMPANY B.S.C.,External,237732.69,21.0,4,0.0,,
R401,BICOSYN ENERGY TECHNOLOGY,External,2100.08,443.0,1,0.0,,
R401,BLUEWATER ENERGY SERVICES B.V,External,2769829.53,930.0,10,0.0,,
R401,BLUEWATER ENERGY SERVICES B.V.,External,8556.16,12.0,2,0.0,,
R401,BLUEWATER LANCASTER PRODUCTION,External,2161310.78,566.0,12,0.0,,
R401,"BP ENERGIA ESPANA, S.A.U.",External,42855.79,35.0,3,0.0,,
R401,BURGO GROUP SPA,External,22622.86,6.0,3,3222.62,,
R401,CARGILL B.V,External,2849449.51,67.0,6,0.0,,
R401,CEFLA S.C.,External,10929.6,2.0,0,0.0,,
R401,CENTRICA STORAGE LTD,External,603742.62,569.0,25,112314.06,,
R401,CHRYSAOR E&P SERVICES LTD,External,688213.17,148.0,9,0.0,,
R401,CHRYSAOR LIMITED,External,2672232.68,3662.0,69,0.0,,
R401,CHRYSAOR LTD,External,2849806.02,2382.0,61,136564.01,,
R401,CHRYSAOR NORTH SEA LIMITED,External,199080.58,713.0,5,0.0,,
R401,CHRYSAOR PETROLEUM CO UK LTD,External,4839661.2,4412.0,109,0.0,,
R401,CNR INTERNATIONAL (UK) LIMITED,External,256988.32,176.0,12,7800.0,,
R401,CONTOUR GLOBAL DO BRASIL,External,1360111.84,100.0,4,2905.08,,
R401,CRAIG INTERNATIONAL LTD,External,1064.72,72.0,7,32.22,,
R401,DANA PETROLEUM (E&P) LIMITED,External,9695411.93,825.0,32,63016.87,,
R401,DOW SILICONES UK LIMITED,External,7806224.04,822.0,26,9180.0,,
R401,EE PPS LLC (LOVELAND) #G383,External,22656.58,5.0,1,0.0,,
R401,ELECTRICITY SUPPLY BOARD,External,765490.55,12.0,1,0.0,,
R401,ENERGY DEPLOYMENT CO LTD,External,584011.24,799.0,2,0.0,,
R401,ENGRO POLYMER & CHEMICALS LTD,External,1436.1,10.0,2,0.0,,
R401,ETHOSENERGY (CANADA) LTD #G822,Internal,175631.31,10.0,2,0.0,,
R401,ETHOSENERGY (GBR) LTD #G501,Internal,870509.97,659.0,14,0.0,,
R401,ETHOSENERGY (GBR) LTD #G602,Internal,58392.62,2407.0,27,9566.19,,
R401,ETHOSENERGY (GBR) LTD #G608,Internal,127947.83,160.0,12,0.0,,
R401,ETHOSENERGY ABU DHABI #G815,Internal,20389.97,1.0,1,0.0,,
R401,"ETHOSENERGY AND PARTNER,",Internal,78438.69,93.0,4,0.0,,
R401,ETHOSENERGY AUSTRALIA,Internal,88028.89,31.0,1,0.0,,
R401,ETHOSENERGY BV #R858,Internal,57674.79,16.0,5,0.0,,
R401,ETHOSENERGY GMBH #G509,Internal,3447928.4,3968.0,17,140128.64,,
R401,ETHOSENERGY ITALIA SPA #R859,Internal,1560571.83,133.0,8,0.0,,
R401,ETHOSENERGY KAZAKHSTAN #G807,Internal,143813.52,4.0,2,0.0,,
R401,ETHOSENERGY LLC #R505,Internal,1037114.31,671.0,13,3494.49,,
R401,ETHOSENERGY LT LLC #R402,Internal,702638.08,843.0,16,0.0,,
R401,ETHOSENERGY PPS LLC #G512,Internal,1676138.51,279.0,5,589539.17,,
R401,ETHOSENERGY SDN BHD #R853,Internal,116411.13,10.0,1,0.0,,
R401,ETHOSENERGY SDN BHD #R871,Internal,120355.85,64.0,4,123153.24,,
R401,EUROPEAN POWER SYSTEMS LTD,External,1554.98,407.0,2,0.0,,
R401,GALZZI SRL,External,7029.65,1.0,1,0.0,,
R401,GAS TURBINE RESOURCES LTD,External,44330.01,64.0,1,0.0,,
R401,GRACE GMBH,External,302657.84,187.0,8,28099.21,,
R401,HALUAN CEKAP SDN BHD,External,7823863.1,3540.0,54,39285.24,,
R401,"HILCORP ALASKA, LLC",External,150718.88,2.0,2,0.0,,
R401,HUMBLY GROVE ENERGY LTD,External,3861.86,7.0,1,0.0,,
R401,IMPTURBINES LTD,External,29542.71,771.0,2,7308.0,,
R401,INTERNATIONAL ENERGY RESOURCES,External,29000.0,1.0,1,0.0,,
R401,KEMAR INTERNATIONAL,External,12460.98,3.0,1,10944.98,,
R401,KRONOSPAN LTD,External,625417.48,126.0,14,0.0,,
R401,LEONE SHIPHOLDINGS INC,External,19182440.06,17715.0,129,309324.03,,
R401,LIBERTY PRIMARY STEEL,External,0.0,1.0,0,0.0,,
R401,MAAD UG,External,0.0,0.0,1,0.0,,
R401,MACLEAN ELECTRICAL GROUP LTD,External,7456.34,23.0,1,0.0,,
R401,MANN ENERGY LLC,External,41965.8,42.0,1,41965.8,,
R401,MUSTANG ENGINEERING LTD,External,5642.59,1.0,1,0.0,,
R401,NATIONAL GAS TRANSMISSION,External,299589.86,65.0,3,0.0,,
R401,NATIONAL GRID GAS PLC,External,190915.46,5.0,2,0.0,,
R401,NATIONAL GRID PLC,External,41687.28,3.0,0,0.0,,
R401,NATRAN S.A.,External,2822224.01,435.0,17,0.0,,
R401,NEO ENERGY RESOURCES UK LTD,External,47915721.82,98935.0,893,1690975.59,,
R401,NNG ENERJI TEKNOLOJI TAAHHUT,External,28353.69,2.0,1,15000.0,,
R401,NOON BROTHER (PVT) LTD,External,4757.2,18.0,2,0.0,,
R401,NOVA GAS TRANSMISSION LTD,External,1390491.54,11.0,3,0.0,,
R401,OCCIDENTAL PETROLEUM OF QATAR,External,0.0,2.0,1,0.0,,
R401,OMV PETROM S.A.SC AP #E&P,External,6840092.74,1403.0,11,321982.83,,
R401,OOO MC SYSTEMS ENERGY,External,169114.82,67.0,4,0.0,,
R401,PATENTED SYSTEMS INC,External,21480.47,16.0,2,0.0,,
R401,PERENCO UK LIMITED,External,2213132.07,1936.0,36,10336.0,,
R401,PERENCO UK LTD,External,8192361.17,6385.0,62,86028.46,,
R401,PETROFAC FACILITIES MGMT LTD,External,688992.15,778.0,19,581.76,,
R401,PETROLEUM DEVELOPMENT OMAN LLC,External,302997.86,5.0,1,0.0,,
R401,"PETROTECH, INC.",External,36070.42,1.0,0,0.0,,
R401,PHILLIPS 66 LIMITED,External,1825.69,1.0,1,0.0,,
R401,PIERCE PRODUCTION COMPANY LTD,External,4026202.33,1167.0,36,0.0,,
R401,PREMIER OIL UK LIMITED,External,74701.88,225.0,12,26383.21,,
R401,PSN SAKHALIN LLC #W155,External,4381662.03,1428.0,18,82802.91,,
R401,PT DIAN SWASTATIKA SENTOSA TBK,External,5191.91,5.0,2,0.0,,
R401,PT JAYA LANGIT NUSANTARA,External,811618.59,102.0,3,0.0,,
R401,PT.INDOPELITA AIRCRAFT SERVICE,External,2066817.05,431.0,7,7435.2,,
R401,PX LIMITED,External,287148.03,590.0,20,0.0,,
R401,QATAR PETROLEUM DEVELOPMENT,External,5353.86,2.0,1,0.0,,
R401,QUARTZELEC LIMITED,External,1487.9,16.0,1,0.0,,
R401,RWG (REPAIR & OVERHAULS) LTD,External,3192487.48,10.0,0,0.0,,
R401,SANTOS LIMITED,External,3505386.77,498.0,9,0.0,,
R401,SCOTTISHPOWER ENERGY,External,109247.68,104.0,10,385.0,,
R401,SHANAHAN ENG ISR LTSA #R873A,External,9964.24,1.0,1,0.0,,
R401,SHELL PHILIPPINES EXPLORATION,External,6488418.86,51.0,2,0.0,,
R401,SHELL UK LIMITED,External,8914753.82,13565.0,303,215674.31,,
R401,SHENZHEN BICOSYN ENTERPRISES,External,15171.03,2.0,1,0.0,,
R401,SJE ENGINEERING LTD,External,27133.59,141.0,10,0.0,,
R401,SOCIETE DE RECHERCHES ET,External,2701173.55,80.0,4,13066.85,,
