Site,Part Number,Revenue_GBP,Units,Customer_Count,Internal_Revenue_GBP,External_Revenue_GBP,Internal_Units,External_Units,Internal_Customer_Count,External_Customer_Count,Onhand_Qty,Cost_Allocated_USD,Revenue_USD,Margin_USD
G580,ABBBL01A1D5,5317806.35,1380.0,1,0.0,5317806.35,0.0,1380.0,0,1,0.0,12705.61,,
G580,ABBBL01A3E2,298884.93,134.0,1,298884.93,0.0,134.0,0.0,1,0,0.0,0.0,,
G580,ABBBL01GT10,15516777.36,658.0,2,15516777.36,0.0,658.0,0.0,2,0,0.0,4657.85,,
G580,ABBBL02A1D5,10290146.65,1840.0,1,0.0,10290146.65,0.0,1840.0,0,1,0.0,0.84,,
G580,ABBBL02A3E2,298884.17,134.0,1,298884.17,0.0,134.0,0.0,1,0,0.0,0.0,,
G580,ABBBL02GT10,3483036.97,120.0,2,3483036.97,0.0,120.0,0.0,2,0,0.0,0.0,,
G580,ABBBL03A1D5,5789229.18,800.0,1,0.0,5789229.18,0.0,800.0,0,1,0.0,0.34,,
G580,ABBBL03A3E2,1534778.31,193.0,1,1534778.31,0.0,193.0,0.0,1,0,0.0,0.0,,
G580,ABBBL03GT10,243016.57,60.0,1,243016.57,0.0,60.0,0.0,1,0,0.0,0.0,,
G580,ABBBL04A1D5,3595118.26,309.0,1,0.0,3595118.26,0.0,309.0,0,1,0.0,0.33,,
G580,ABBBL05A1D5,2455994.23,177.0,1,2455994.23,0.0,177.0,0.0,1,0,0.0,24392.17,,
G580,ABBCC00GT10,77676562.63,18.0,3,54542445.12,23134117.51,11.0,7.0,2,1,0.0,22387.33,,
G580,ABBCC00GT10A,9272256.67,4.0,1,9272256.67,0.0,4.0,0.0,1,0,0.0,0.0,,
G580,ABBCS06GT10,2299278.31,7.0,1,2299278.31,0.0,7.0,0.0,1,0,0.0,0.0,,
G580,ABBCS07GT10,2299278.31,7.0,1,2299278.31,0.0,7.0,0.0,1,0,0.0,0.0,,
G580,ABBCS08GT10,2209129.92,7.0,1,2209129.92,0.0,7.0,0.0,1,0,0.0,0.0,,
G580,ABBCS09GT10,2209129.92,7.0,1,2209129.92,0.0,7.0,0.0,1,0,0.0,0.0,,
G580,ABBCS10GT10,2209129.92,8.0,1,2209129.92,0.0,8.0,0.0,1,0,0.0,0.0,,
G580,ABBCT00GT10,2099639.54,2.0,1,2099639.54,0.0,2.0,0.0,1,0,0.0,0.0,,
G580,ABBFH00GT35,825613.92,15.0,1,0.0,825613.92,0.0,15.0,0,1,0.0,0.0,,
G580,ABBFT00GT35,860776.68,9.0,1,0.0,860776.68,0.0,9.0,0,1,0.0,0.0,,
G580,ABBHS01GT10,9075041.12,311.0,2,9075041.12,0.0,311.0,0.0,2,0,0.0,117017.95,,
G580,ABBHS02GT10,4193752.31,156.0,1,4193752.31,0.0,156.0,0.0,1,0,0.0,87776.07,,
G580,ABBHS03GT10,3434068.56,144.0,1,3434068.56,0.0,144.0,0.0,1,0,0.0,176008.47,,
